[(1203.0, 694.0), (2314.0, 693.0), (3538.5, 1698.0), (36.0, 1772.0)]
[(1203.0, 694.0), (2314.0, 693.0), (3538.5, 1698.0), (36.0, 1772.0)]
[(1203.0, 694.0), (2314.0, 693.0), (3539.0, 1698.5), (36.0, 1772.0)]
[(1203.0, 694.0), (2314.0, 693.0), (3539.0, 1698.5), (36.0, 1772.0)]
[(1203.0, 694.0), (2314.0, 692.0), (3539.0, 1697.5), (36.0, 1772.0)]
[(1203.0, 693.0), (2314.0, 692.0), (3539.0, 1698.5), (35.0, 1772.0)]
[(1203.0, 694.0), (2314.0, 692.0), (3538.5, 1699.0), (36.0, 1772.0)]
[(1203.0, 694.0), (2314.0, 693.0), (3538.5, 1698.0), (35.0, 1772.0)]
[(1203.0, 694.0), (2314.0, 693.0), (3538.5, 1698.0), (36.0, 1772.0)]
[(1203.0, 694.0), (2314.0, 693.0), (3538.5, 1698.0), (36.0, 1772.0)]
[(1203.0, 694.0), (2314.0, 692.0), (3538.5, 1698.0), (36.0, 1772.0)]
[(1203.0, 694.0), (2314.0, 692.0), (3538.5, 1698.0), (36.0, 1772.0)]
[(1203.0, 693.0), (2314.0, 692.0), (3538.5, 1698.0), (35.0, 1772.0)]
[(1203.0, 694.0), (2314.0, 693.0), (3538.5, 1698.0), (36.0, 1772.0)]
[(1203.0, 695.0), (2314.0, 693.0), (3538.5, 1698.0), (36.0, 1772.0)]
[(1203.0, 695.0), (2314.0, 692.0), (3538.5, 1698.0), (36.0, 1772.0)]
[(1203.0, 694.0), (2314.0, 692.0), (3538.5, 1697.0), (36.0, 1772.0)]
[(1202.0, 694.0), (2314.0, 693.0), (3538.5, 1697.0), (36.0, 1772.0)]
[(1203.0, 695.0), (2314.0, 693.0), (3538.5, 1697.0), (36.0, 1772.0)]
[(1203.0, 694.0), (2314.0, 693.0), (3538.0, 1696.5), (35.0, 1772.0)]
[(1203.0, 694.0), (2314.0, 693.0), (3538.0, 1697.5), (36.0, 1772.0)]
[(1203.0, 694.0), (2314.0, 692.0), (3538.0, 1697.5), (36.0, 1771.0)]
[(1203.0, 694.0), (2314.0, 692.0), (3538.5, 1696.0), (36.0, 1772.0)]
[(1203.0, 694.0), (2314.0, 692.0), (3538.5, 1696.0), (35.0, 1771.0)]
[(1204.0, 693.0), (2314.0, 692.0), (3538.5, 1696.0), (35.5, 1771.5)]
[(1203.0, 694.0), (2314.0, 692.0), (3538.5, 1696.0), (36.5, 1771.5)]
[(1203.0, 694.0), (2314.0, 692.0), (3538.5, 1696.0), (36.5, 1770.5)]
[(1203.0, 693.0), (2314.0, 692.0), (3538.5, 1696.0), (36.0, 1771.0)]
[(1204.0, 694.0), (2314.0, 692.0), (3538.5, 1695.0), (36.5, 1770.5)]
[(1203.0, 694.0), (2314.0, 692.0), (3538.5, 1695.0), (36.5, 1770.5)]
[(1203.0, 693.0), (2314.0, 692.0), (3537.5, 1695.5), (36.5, 1770.5)]
[(1203.0, 694.0), (2314.0, 692.0), (3537.5, 1695.0), (36.5, 1770.5)]
[(1203.0, 694.0), (2314.0, 692.0), (3537.5, 1695.5), (36.5, 1769.5)]
[(1203.0, 694.0), (2314.0, 692.0), (3537.5, 1694.5), (36.0, 1770.0)]
[(1203.0, 694.0), (2314.0, 692.0), (3537.5, 1694.0), (36.5, 1770.5)]
[(1203.0, 694.0), (2314.0, 692.0), (3537.5, 1694.0), (36.5, 1770.5)]
[(1203.0, 694.0), (2314.0, 692.0), (3537.5, 1695.0), (36.0, 1770.0)]
[(1203.0, 694.0), (2314.0, 692.0), (3538.5, 1695.0), (35.5, 1770.5)]
[(1203.0, 694.0), (2314.0, 692.0), (3538.5, 1695.0), (36.5, 1770.5)]
[(1203.0, 693.0), (2314.0, 692.0), (3538.5, 1695.0), (36.5, 1770.5)]
[(1203.0, 694.0), (2314.0, 692.0), (3538.5, 1695.0), (36.0, 1770.0)]
